Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2018,June,2 Eastern, Wodonga,WODONGA,3316,8004
2018,June,2 Eastern, Yarra Ranges,YARRA RANGES,7875,4979
2018,June,2 Eastern,Total,TOTAL,111925,6587
2018,June,3 Southern Metro, Bayside,BAYSIDE,4767,4508
2018,June,3 Southern Metro, Cardinia,CARDINIA,5836,5448
2018,June,3 Southern Metro, Casey,CASEY,20166,5923
2018,June,3 Southern Metro, Frankston,FRANKSTON,14786,10424
2018,June,3 Southern Metro, Glen Eira,GLEN EIRA,6548,4254
2018,June,3 Southern Metro, Greater Dandenong,GREATER DANDENONG,18357,11049
2018,June,3 Southern Metro, Kingston,KINGSTON,10527,6440
2018,June,3 Southern Metro, Mornington Peninsula,MORNINGTON PENINSULA,10880,6561
2018,June,3 Southern Metro, Port Phillip,PORT PHILLIP,12870,11363
2018,June,3 Southern Metro, Stonnington,STONNINGTON,10551,9074
2018,June,3 Southern Metro,Total,TOTAL,115288,7324
2018,June,4 Western, Ararat,ARARAT,1287,10911
2018,June,4 Western, Ballarat,BALLARAT,11422,10643
2018,June,4 Western, Buloke,BULOKE,247,3995
2018,June,4 Western, Campaspe,CAMPASPE,3571,9500
2018,June,4 Western, Central Goldfields,CENTRAL GOLDFIELDS,1603,12137
2018,June,4 Western, Colac-Otway,COLAC-OTWAY,1586,7376
2018,June,4 Western, Corangamite,CORANGAMITE,849,5261
2018,June,4 Western, Gannawarra,GANNAWARRA,568,5386
2018,June,4 Western, Glenelg,GLENELG,1544,7852
2018,June,4 Western, Golden Plains,GOLDEN PLAINS,681,2946
2018,June,4 Western, Greater Bendigo,GREATER BENDIGO,9735,8389
2018,June,4 Western, Greater Geelong,GREATER GEELONG,21602,8564
2018,June,4 Western, Hepburn,HEPBURN,842,5325
2018,June,4 Western, Hindmarsh,HINDMARSH,334,5918
2018,June,4 Western, Horsham,HORSHAM,2482,12489
2018,June,4 Western, Loddon,LODDON,412,5484
2018,June,4 Western, Macedon Ranges,MACEDON RANGES,2097,4246
2018,June,4 Western, Mildura,MILDURA,6642,11964
